data inicial semana,umidmin,umidmed,umidmax,tempmin,tempmed,tempmax,precipitacao total,casos,month
2017-06-25,95.7142857142857,98.4846928571429,100.0,12.0,13.2193877142857,14.4285714285714,0.6000000000000001,3,Jun
2017-06-18,94.1428571428571,97.5153057142857,100.0,13.1428571428571,14.1403061428571,15.2857142857143,0.4,3,Jun
2017-06-11,92.1428571428571,97.1964285714286,100.0,11.1428571428571,12.5155024285714,14.1428571428571,22.4,2,Jun
2017-06-04,87.7142857142857,94.4489785714286,98.2857142857143,15.7142857142857,16.8435372857143,18.4285714285714,95.2,3,Jun
2017-05-28,89.2857142857143,95.7414965714286,99.1428571428571,14.5714285714286,15.6852607142857,17.2857142857143,5.0,0,May
2017-05-21,96.5714285714286,98.0867342857143,100.0,15.8571428571429,16.5829727142857,17.1428571428571,68.0,2,May
2017-05-14,86.7142857142857,90.7982991428571,93.5714285714286,15.8571428571429,16.8415062857143,17.8571428571429,75.19999999999999,5,May
2017-05-07,87.8571428571429,96.0068022857143,100.0,14.5714285714286,15.951814,17.8571428571429,2.0,5,May
2017-04-30,94.0,96.7171214285714,98.2857142857143,14.8571428571429,15.8379628571429,16.7142857142857,33.8,8,Apr
2017-04-23,86.7142857142857,92.41043,98.2857142857143,16.2857142857143,17.0261717142857,17.8571428571429,18.6,6,Apr
2017-04-16,88.1428571428571,94.5918357142857,99.1428571428571,16.2857142857143,17.4096754285714,18.8571428571429,32.6,7,Apr
2017-04-09,84.4285714285714,93.3210042857143,98.2857142857143,18.7142857142857,20.1189638571429,22.0,1.4,1,Apr
2017-04-02,89.5714285714286,95.1620057142857,99.1428571428571,17.8571428571429,18.851921,19.8571428571429,97.6,11,Apr
2017-03-26,87.0,93.2823122857143,98.2857142857143,15.8571428571429,17.073696,18.2857142857143,1.2000000000000002,5,Mar
2017-03-19,85.2857142857143,94.8195914285714,100.0,16.0,17.6669727142857,19.7142857142857,8.0,14,Mar
2017-03-12,87.5714285714286,95.6559642857143,100.0,20.0,20.8847331428571,22.5714285714286,39.8,9,Mar
2017-03-05,87.5714285714286,95.0765314285714,99.1428571428571,20.5714285714286,21.5435635714286,23.0,81.2,7,Mar
2017-02-26,88.0,94.8153071428571,97.5714285714286,19.8571428571429,20.9913264285714,22.2857142857143,47.0,14,Feb
2017-02-19,80.4285714285714,88.7574764285714,97.4285714285714,19.1428571428571,20.7283311428571,22.5714285714286,44.6,7,Feb
2017-02-12,77.4285714285714,88.2448971428571,97.4285714285714,19.4285714285714,21.6462585714286,24.4285714285714,1.4,8,Feb
2017-02-05,85.5714285714286,92.3920065714286,96.5714285714286,19.4285714285714,20.7783445714286,22.4285714285714,16.799999999999997,17,Feb
