Week,"PRECIPITA TOTAL, HORARIO (mm)"
2015-09-20,33.8
2015-09-27,46.800000000000004
2015-10-04,2.6
2015-10-11,11.0
2015-10-18,34.6
2015-10-25,19.8
2015-11-01,110.0
2015-11-08,28.0
2015-11-15,55.4
2015-11-22,20.200000000000003
2015-11-29,17.4
2015-12-06,17.2
2015-12-13,37.8
2015-12-20,63.4
2015-12-27,65.4
2016-01-03,35.0
2016-01-10,82.4
2016-01-17,0.4
2016-01-24,35.2
2016-01-31,16.2
2016-02-07,36.6
2016-02-14,38.0
2016-02-21,62.2
2016-02-28,61.2
2016-03-06,103.8
2016-03-13,13.0
2016-03-20,26.799999999999997
2016-03-27,10.2
2016-04-03,0.4
2016-04-10,0.2
2016-04-17,0.2
2016-04-24,2.0
2016-05-01,0.4
2016-05-08,0.4
2016-05-15,23.8
2016-05-22,1.6
2016-06-19,2.8
2016-06-26,0.6000000000000001
2016-07-03,0.4
2016-07-10,6.4
2016-07-17,0.0
2016-07-24,0.2
2016-07-31,0.4
2016-08-07,0.4
2016-08-14,26.6
2016-08-21,45.0
2016-08-28,13.6
2016-09-04,10.4
2016-09-11,0.2
2016-09-18,0.2
2016-09-25,1.2
2016-10-02,14.4
2016-10-09,20.4
2016-10-16,40.0
2016-10-23,43.6
2016-10-30,8.600000000000001
2016-11-06,47.6
2016-11-13,43.0
2016-11-20,3.4
2016-11-27,33.8
2016-12-04,16.6
2016-12-11,44.800000000000004
2016-12-18,52.0
2016-12-25,23.0
2017-01-01,49.800000000000004
2017-01-08,26.0
2017-01-15,291.6
2017-01-22,48.39999999999999
2017-01-29,53.2
2017-02-05,16.799999999999997
2017-02-12,1.4
2017-02-19,44.599999999999994
2017-02-26,47.0
2017-03-05,81.2
2017-03-12,39.800000000000004
2017-03-19,8.0
2017-03-26,1.2000000000000002
2017-04-02,97.60000000000001
2017-04-09,1.4000000000000001
2017-04-16,32.6
2017-04-23,18.599999999999998
2017-04-30,33.8
2017-05-07,2.0
2017-05-14,75.19999999999999
2017-05-21,68.0
2017-05-28,5.0
2017-06-04,95.2
2017-06-11,22.4
2017-06-18,0.4
2017-06-25,0.6000000000000001
2017-07-02,0.4
